Id,NAME,ADDRESS,CITY,STATE_HEADQUARTERED,ZIP,PHONE,AMOUNT_COVERED,AMOUNT_UNCOVERED,REVENUE,COVERED_ENCOUNTERS,UNCOVERED_ENCOUNTERS,COVERED_MEDICATIONS,UNCOVERED_MEDICATIONS,COVERED_PROCEDURES,UNCOVERED_PROCEDURES,COVERED_IMMUNIZATIONS,UNCOVERED_IMMUNIZATIONS,UNIQUE_CUSTOMERS,QOLS_AVG,MEMBER_MONTHS
b3221cfc-24fb-339e-823d-bc4136cbc4ed,Dual Eligible,7500 Security Blvd,Baltimore,MD,21244,1-877-267-2323,39188.54,10443.79,1457500.00,284,0,7,0,157,0,300,0,24,0.4972117620794257,3756
7caa7254-5050-3b5e-9eae-bd5ea30e809c,Medicare,7500 Security Blvd,Baltimore,MD,21244,1-800-633-4227,424609.84,38555.63,6480000.00,2381,0,73,0,1246,0,2519,0,176,0.906055324496939,26832
7c4411ce-02f1-39b5-b9ec-dfbea9ad3c1a,Medicaid,7500 Security Blvd,Baltimore,MD,21244,1-877-267-2323,349285.09,176639.50,12760250.00,4045,0,5,0,400,0,4720,0,115,0.7969581168019547,56640
d47b3510-2895-3b70-9897-342d681c769d,Humana,500 West Main St,Louisville,KY,40018,1-844-330-7799,403116.40,352778.96,126532700.00,5894,0,0,29,397,0,6895,0,162,0.9750088775706086,75012
6e2f1a2d-27bd-3701-8d08-dae202c58632,Blue Cross Blue Shield,Michigan Plaza,Chicago,IL,60007,1-800-262-2583,459189.15,340951.46,137178000.00,6004,0,54,0,527,0,6910,0,156,0.9737015973625842,76740
5059a55e-5d6e-34d1-b6cb-d83d16e57bcf,UnitedHealthcare,9800 Healthcare Lane,Minnetonka,MN,55436,1-888-545-5205,360670.32,219800.00,104110500.00,4531,0,0,9,445,0,5637,0,129,0.974293683382075,55272
4d71f845-a6a9-3c39-b242-14d25ef86a8d,Aetna,151 Farmington Ave,Hartford,CT,6156,1-800-872-3862,428197.89,246740.00,130494000.00,5266,0,0,33,352,0,6375,0,145,0.9722925976742304,65796
047f6ec3-6215-35eb-9608-f9dda363a44c,Cigna Health,900 Cottage Grove Rd,Bloomfield,CT,6002,1-800-997-1654,483735.58,251520.00,151615800.00,5735,0,0,31,392,0,6768,0,152,0.9761339234900996,72684
42c4fca7-f8a9-3cd1-982a-dd9751bf3e2a,Anthem,220 Virginia Ave,Indianapolis,IN,46204,1-800-331-1476,435964.84,196790.00,138096200.00,4899,129,0,25,46,513,5939,0,143,0.9704775692592222,63348
b1c428d6-4f07-31e0-90f0-68ffa6ff8c76,NO_INSURANCE,,,,,,0.00,514405.62,0.00,0,3024,0,24,0,320,0,3451,76,1.3330440950818685,34176
